COUNTRY,Country,SERIES,Series,TIME,Time,Unit Code,Unit,PowerCode Code,PowerCode,Reference Period Code,Reference Period,Value,Flag Codes,Flags
AUS,Australia,CPNCU,Current prices in NCU,2000,2000,AUD,Australian Dollar,0,Units,,,46286.11108,,
AUS,Australia,CPNCU,Current prices in NCU,2001,2001,AUD,Australian Dollar,0,Units,,,48366.62848,,
AUS,Australia,CPNCU,Current prices in NCU,2002,2002,AUD,Australian Dollar,0,Units,,,50109.13756,,
AUS,Australia,CPNCU,Current prices in NCU,2003,2003,AUD,Australian Dollar,0,Units,,,51867.99994,,
AUS,Australia,CPNCU,Current prices in NCU,2004,2004,AUD,Australian Dollar,0,Units,,,54283.66978,,
AUS,Australia,CPNCU,Current prices in NCU,2005,2005,AUD,Australian Dollar,0,Units,,,56174.40486,,
AUS,Australia,CPNCU,Current prices in NCU,2006,2006,AUD,Australian Dollar,0,Units,,,58577.02918,,
AUS,Australia,CPNCU,Current prices in NCU,2007,2007,AUD,Australian Dollar,0,Units,,,62067.95557,,
AUS,Australia,CPNCU,Current prices in NCU,2008,2008,AUD,Australian Dollar,0,Units,,,64554.53519,,
AUS,Australia,CPNCU,Current prices in NCU,2009,2009,AUD,Australian Dollar,0,Units,,,65621.76471,,
AUS,Australia,CPNCU,Current prices in NCU,2010,2010,AUD,Australian Dollar,0,Units,,,69386.49673,,
AUS,Australia,CPNCU,Current prices in NCU,2011,2011,AUD,Australian Dollar,0,Units,,,73301.50676,,
AUS,Australia,CPNCU,Current prices in NCU,2012,2012,AUD,Australian Dollar,0,Units,,,75509.6805,,
AUS,Australia,CPNCU,Current prices in NCU,2013,2013,AUD,Australian Dollar,0,Units,,,76975.38462,,
AUS,Australia,CPNCU,Current prices in NCU,2014,2014,AUD,Australian Dollar,0,Units,,,79083.95636,,
AUS,Australia,CPNCU,Current prices in NCU,2015,2015,AUD,Australian Dollar,0,Units,,,79613.79924,,
AUS,Australia,CPNCU,Current prices in NCU,2016,2016,AUD,Australian Dollar,0,Units,,,80403.35326,,
AUS,Australia,CPNCU,Current prices in NCU,2017,2017,AUD,Australian Dollar,0,Units,,,80739.62663,,
AUS,Australia,CPNCU,Current prices in NCU,2018,2018,AUD,Australian Dollar,0,Units,,,81782.42163,,
AUS,Australia,CPNCU,Current prices in NCU,2019,2019,AUD,Australian Dollar,0,Units,,,83602.47835,,
AUT,Austria,CPNCU,Current prices in NCU,2000,2000,EUR,Euro,0,Units,,,27945.33949,,
AUT,Austria,CPNCU,Current prices in NCU,2001,2001,EUR,Euro,0,Units,,,28524.50576,,
AUT,Austria,CPNCU,Current prices in NCU,2002,2002,EUR,Euro,0,Units,,,29264.46251,,
AUT,Austria,CPNCU,Current prices in NCU,2003,2003,EUR,Euro,0,Units,,,29797.40872,,
AUT,Austria,CPNCU,Current prices in NCU,2004,2004,EUR,Euro,0,Units,,,30888.54617,,
AUT,Austria,CPNCU,Current prices in NCU,2005,2005,EUR,Euro,0,Units,,,31802.71972,,
AUT,Austria,CPNCU,Current prices in NCU,2006,2006,EUR,Euro,0,Units,,,32931.84287,,
AUT,Austria,CPNCU,Current prices in NCU,2007,2007,EUR,Euro,0,Units,,,33913.04035,,
AUT,Austria,CPNCU,Current prices in NCU,2008,2008,EUR,Euro,0,Units,,,35238.94277,,
AUT,Austria,CPNCU,Current prices in NCU,2009,2009,EUR,Euro,0,Units,,,35976.16538,,
AUT,Austria,CPNCU,Current prices in NCU,2010,2010,EUR,Euro,0,Units,,,36433.3844,,
AUT,Austria,CPNCU,Current prices in NCU,2011,2011,EUR,Euro,0,Units,,,37174.47401,,
AUT,Austria,CPNCU,Current prices in NCU,2012,2012,EUR,Euro,0,Units,,,38271.50092,,
AUT,Austria,CPNCU,Current prices in NCU,2013,2013,EUR,Euro,0,Units,,,39128.6236,,
AUT,Austria,CPNCU,Current prices in NCU,2014,2014,EUR,Euro,0,Units,,,40070.1816,,
AUT,Austria,CPNCU,Current prices in NCU,2015,2015,EUR,Euro,0,Units,,,40933.70674,,
AUT,Austria,CPNCU,Current prices in NCU,2016,2016,EUR,Euro,0,Units,,,41928.2731,,
AUT,Austria,CPNCU,Current prices in NCU,2017,2017,EUR,Euro,0,Units,,,42636.12762,,
AUT,Austria,CPNCU,Current prices in NCU,2018,2018,EUR,Euro,0,Units,,,43634.33736,,
AUT,Austria,CPNCU,Current prices in NCU,2019,2019,EUR,Euro,0,Units,,,44688.83284,,
BEL,Belgium,CPNCU,Current prices in NCU,2000,2000,EUR,Euro,0,Units,,,31029.87426,,
BEL,Belgium,CPNCU,Current prices in NCU,2001,2001,EUR,Euro,0,Units,,,31849.43071,,
BEL,Belgium,CPNCU,Current prices in NCU,2002,2002,EUR,Euro,0,Units,,,33175.17551,,
BEL,Belgium,CPNCU,Current prices in NCU,2003,2003,EUR,Euro,0,Units,,,33868.74641,,
BEL,Belgium,CPNCU,Current prices in NCU,2004,2004,EUR,Euro,0,Units,,,34535.77696,,
BEL,Belgium,CPNCU,Current prices in NCU,2005,2005,EUR,Euro,0,Units,,,35190.45264,,
BEL,Belgium,CPNCU,Current prices in NCU,2006,2006,EUR,Euro,0,Units,,,36408.40021,,
BEL,Belgium,CPNCU,Current prices in NCU,2007,2007,EUR,Euro,0,Units,,,37319.36136,,
